news,type
"Ronit Roy to play Babur in Nikkhil Advani’s Moghuls",entertainment
"Priyanka Chopra and Nick Jonas watch Serena Williams reach semifinals of US Open",entertainment
"Rishi Kapoor on Alia Bhatt: Ranbir likes her",entertainment
"Bharti Singh and husband Harsh Limbachiyaa in Bigg Boss 12?",entertainment
"
Amid cancer treatment, Sonali Bendre shares her new look",entertainment
"Marathi actor Shubhangi Joshi passes away",entertainment
"Shashi Tharoor’s book Why I Am A Hindu to be made into a web series",entertainment
"Dhanush’s Enai Noki Paayum Thota set to clash with Vijay’s Sarkar at box office",entertainment
"Adil Hussain starrer What Will People Say declared Norway’s official entry to the Oscars",entertainment
"Ronit Roy to play Babur in Nikkhil Advani’s Moghuls",entertainment
"Priyanka Chopra and fiance Nick Jonas watch Serena Williams reach US Open semifinals",entertainment
"Stree box office collection Day 5: Rajkummar Rao film earns Rs 48.34 crore",entertainment
"Rishi Kapoor on Alia Bhatt: Ranbir likes her",entertainment
"Hrithik Roshan unveils posters of Super 30 on Teacher’s Day",entertainment
"Yamla Pagla Deewana Phir Se box office collection Day 5: The earnings of Dharmendra starrer is no laughing matter",entertainment
"Yamla Pagla Deewana Phir Se box office collection Day 5: The earnings of Dharmendra starrer is no laughing matter",entertainment
"Shefali Shah: Bollywood doesn’t know what to do with a woman who has crossed 40",entertainment
"Bhuvan Bam: An artiste can only create if he is free",entertainment
"Salman Khan on Priyanka Chopra opting out of Bharat: No hard feelings",entertainment
"Aadai first look: Amala Paul promises a thriller",entertainment
"Confirmed: Salman Khan all set to star in Sanjay Leela Bhansali’s next",entertainment
"Have you seen these photos of Katrina Kaif, Alia Bhatt and Sunny Leone?",entertainment
"One can’t just have a crush on Shah Rukh Khan, he is a person whom you love: Sacred Games star Kubbra Sait",entertainment
"Sunny Kaushal on his brother Vicky Kaushal: I want to know his actor side",entertainment
"KBC 10 September 3, 2018 episode: Highlights",entertainment
"KBC 10: What is KBC Play Along?",entertainment
"Shah Rukh Khan and AbRam celebrate Janmashtami",entertainment
"Dave Bautista might not return as Drax in Guardians of the Galaxy 3, says he isn’t sure of working with Disney",entertainment
"Manikarnika controversy: Major portions of Kangana Ranaut’s film to be reshot",entertainment
"Deepika Padukone in next xXx film, confirms director DJ Caruso",entertainment
"Bigg Boss Tamil 2 fame Danny ties the knot",entertainment
"Sui Dhaaga: When Varun Dhawan fell sick shooting for the bus sequence in New Delhi",entertainment
"Abhishek Bachchan on playing Robbie in Manmarziyaan: I really like the conviction in his actions",entertainment
"Nimrat Kaur dating Ravi Shastri? Here’s what the Airlift actor has to say",entertainment
"Amitabh Bachchan: Feel fortunate to work with the new crop of actors",entertainment
"U Turn: Samantha Akkineni dances her heart out to Anirudh Ravichander’s The Karma Theme",entertainment
"Janmashtami 2018: Amitabh Bachchan, Rishi Kapoor, Shilpa Shetty and other B-town biggies wish their fans",entertainment
"Lata Mangeshkar on Atif Aslam’s version of ‘Chalte Chalte’: This trend of remixing old songs saddens me",entertainment
"Have taken references for my character from The Zoya Factor book: Sonam Kapoor",entertainment
"I don’t see myself standing behind any hero as a sidekick: Manav Kaul",entertainment
"Is that Farhan Akhtar walking hand-in-hand with Shibani Dandekar? The internet thinks so",entertainment
"Salman Khan’s Sultan tumbles at Chinese box office",entertainment
"New on Netflix this month: Maniac, Fantastic Beasts, Hold the Dark and more",entertainment
"Game of Thrones actor Nikolaj Coster-Waldau on Jaime Lannister’s journey in season 8",entertainment
"Producer Kamal Jain on Manikarnika controversy: Kangana Ranaut is the best person to take over the mantle",entertainment
"Sanjay Dutt offers to lead anti-drug campaign",entertainment
"The Nun actor Demian Bichir on his character Father Burke: He is far away from who I am",entertainment
"Neil Armstrong’s sons defend moon landing in docudrama First Man",entertainment
